Serial Number,Common Name (India Checklist),Scientific Name (India Checklist),IUCN Status,WLPA Schedule,Analysed Long-term,Analysed Current,Long-term Trend (%),Long-term Trend CI (%),Current Annual Change (%),Current Annual Change CI (%),"Distribution Range Size (units of 10,000 sq. km.)","Distribution Range Size CI (units of 10,000 sq. km.)",Long Term Status,Current Status,Distribution Status,Status of Conservation Concern,Assessed Primarily Based On,Migratory Status
1,Fulvous Whistling Duck,Dendrocygna bicolor,Least Concern,Schedule-I,,X,,,-1.873457577,11.42140106,13.4074988,0.0710999999999995,Data Deficient,Uncertain,Moderate,Low,Trends & Range Size,Resident
2,Lesser Whistling Duck,Dendrocygna javanica,Least Concern,Schedule-IV,X,X,4.607644743,19.49676762,-3.907999145,2.727739793,149.898761,0.0986999999999796,Stable,Moderate Decline,Very Large,Low,Trends & Range Size,Resident
3,Bar-headed Goose,Anser indicus,Least Concern,Schedule-IV,X,X,-13.39993978,217.658129,-6.935406704,38.94695007,45.4472583,0.0700000000000003,Uncertain,Uncertain,Large,Low,Trends & Range Size,Migratory-Local
4,Greylag Goose,Anser anser,Least Concern,Schedule-IV,X,X,-38.40276243,34.9438426,-3.091665089,8.853505483,24.5691745,0.104500000000002,Uncertain,Uncertain,Moderate,Low,Trends & Range Size,Migratory-Long-Distance
5,Comb Duck,Sarkidiornis melanotos,Least Concern,Schedule-IV,X,X,1.291713172,31.15429634,-6.018773577,4.432596981,81.233442,0.0836000000000041,Uncertain,Moderate Decline,Large,Moderate,Trends & Range Size,Resident
